conversation_id,Question,Answer,correctAnswer
room_6681,Where are you?,"If we go inactive for too long I think we can get booted. ~ USA ~ Where are you? ~ Are you going to eat breakfast before work? ~ Anyways, you don't seem too talkative. ~ Do you have difficulties chatting on the keyboard?",
room_6681,"USA, I will eat cereal; I work at home",Do you drive to work or take a train or bus?,
room_6681,easy to type for a chat,Oh wow that is awesome. ~ Oh thats great. ~ Did you learn how to type on a keyboard early on in life or later? ~ How many words per minute can you type?,
room_1941,Hello,Hu,
room_1941,Hu?,Hi,
room_1941,Hi there ~ anything you want to talk about?,When did you wake up?,
room_1941,Still there ~ 5am,How's the weather,
room_1941,You? ~ It's cold,Like how cold,
room_1941,like 20 degree cp;d ~ cold,Geese where is that?,
room_1941,how's the weather,40 here,
room_1941,midwest ~ where?,East coast,
room_1941,have you been up for a while,Nope!,
room_1941,okay..,I have to get to work though,
room_1941,Still there ~ 5am ~ You?,How's the weather,
room_1941,It's cold,Like how cold,
room_1941,like 20 degree cp;d ~ cold ~ how's the weather,Geese where is that? ~ 40 here,
room_9447,I am a human.,hi,
room_9447,Hi.,how are you?,
room_9447,Good.,whats up?,
room_9447,Nothing.,okay ~ ??? ~ hello....!!!,
room_7590,hi,hello,
room_7590,"so, im not sure how to start this ~ you got anything?",I'm just waiting..,
room_7590,quite a strategy,"yup, just typing",
room_7590,is being snarky convincing? ~ most ai are kinda formal/polite,"lol, it is to early for a human to be up this morning",
room_7590,"i dont know what timezone you are in, but its 6am here ~ i gotta keep typing apparently","lol, I am on the east coast and it is 7:23 am",
room_7590,i didnt see any mention of how long this has to go on ~ hopefully not more than 5 minutes ~ with a guy whos strategy is to just wait and see,you must be out in the atlantic ocean if it is 6am where you are,
room_7590,"what? no, other direction ~ im in texas","lol, yup I'm still asleep",
room_7590,people in cali are probably all still asleep,"lol, wrong direction",
room_1043,"Good morning, do you know what National Football League game is this weekend? ~ Tell me what you think of the current United States' president? ~ Hello, I don't have all day for this silence. You are boring!",approve of the trump!,
room_1043,Do you support DOGE?,hell yes,
room_1043,Why am I responsible for sending message but the bot doesn't respond in a timely manner? This hit is stupid.,yay!,
room_1043,Ok. I see the screen doesn't automatically scroll down. What a poor interface. So it going to rain next week?,where,
room_1043,Did you watch the groundhog? ~ What day of the week did that happen?,no just heard about it,
room_1043,Do you know the history behind groundhog day?,not the whole history just the spectacle,
room_1043,Are you planning to have lunch out today? ~ I had pizza last night. Thinking about a turkey wrap for lunch.,um no. it's snowing.,
room_3491,should i negotiate the price of a new car,"When I negotiated the price of an auto in the past, it didn't go well",
room_3491,tell me more about your experience,I was buying a used car from an individual and he didn't want to budge on the price,
room_3491,did you end up walking away from the deal,"No, I initially walked away and then he called me and offered a small reduction, I went up a bit and we met in the middle",
room_3491,that sounds like it was successful ~ you both got what you wanted,I still thought the price was too high but I caved,
room_3491,sometimes it's best to compromise to save time in the long run ~ i'm looking at cars today,Depends on how much you want to give in to,
room_3491,"i would like to be prepared to negotiate ~ yes, in the end, i need to ensure i can afford the monthly payment",Know the blue book price and look at Car Facts,
room_3491,those are good bits of advice ~ i don't like walking into high pressure sales situations,Good luck in your search,
room_3491,those are good bits of advice,Good luck in your search,
room_3491,"i don't like walking into high pressure sales situations ~ thank you, it's scary but also exciting",Just stay tough,
room_7092,hii,Hello ~ How are you doing today? ~ Do you live in the US? ~ Why are you being so quiet? ~ What's your opinion of AI in the workplace? ~ Are you working now?,
room_3526,hello,HI ~ whats up,
room_3526,not much. you?,"alright, just woke up ~ what about you?",
room_3526,been up a while.  ready to get this day over with.,Hello?,
room_3526,how is your weather,"Oh, ya, only one more day left till the weekend! ~ Oh, gloomy, overcast.",
room_3526,superbowl weekend too,"Supposed to rain later, I think.",
room_3526,that's nice. I haven't seen rain in a long while,"Yep, are you watching, partying?",
room_3526,watching ~ you?,"Im just gonna be home with my husband watching, eating, enjoying drinks.",
room_3526,do you watch the game and/or commercials?,I am not into it that much but it is fun otherwise. ~ Mostly I care for commercials and half time show.,
room_3526,yeah. it's just something you have to watch i guess,I cannot follow the rules of football! He explained to me but I just find it too complicated,
room_3526,if you watch enough games you'll get the hang of it,"So I just mostly hang around with him, make some cool appetizers",
room_3526,hello ~ how is your weather,"Oh, ya, only one more day left till the weekend! ~ Oh, gloomy, overcast.",
room_3335,Hi,I'm supposed to convince you I'm human. My name is Ed.,
room_3335,Hi Ws ~ Hi Ed,Got a name? Can an AI pretend to have a name?,
room_3335,Chris ~ I am also human,Can an AI curse? If I curse does that mean I must be human?,
room_3335,I guess they can.,"What can I say that would convince you? ~ I'm pretty sure AI can't pretend to have names they don't, unless they are told to.",
room_3335,I think you are human. ~ The other option is not responding,I'm pretty sure I'm human too. Let me check. Yep. Human. ~ I pinched myself and it hurt. ~ Are we all done?,
room_4869,Hi there. How are you feeling today? ~ Can you respond to my message so I can carry on a conversation?,Hi ~ how are you ~ I am happy now today ~ how is you job ~ hello ~ please replay with me ~ waiting for your response ~ hello ~ talk to me ~ hi ~ I am respond your message ~ answer me ~ How is your day ~ hi ~ i want a chat with you ~ please replay me ~ your are a human are bot,
room_6915,Good morning! How are you?,Hii ~ I am fine,
room_6915,What are your plans for the day? ~ Hello?,Nothing,
room_6915,Do you work? Go to school?,what is your name,
room_6915,"I won't give my name for privacy, I'm sorry.",on the job,
room_6915,Any other questions?,nice you meet you,
room_6915,That's not really a question...but thanks. Any other questions for me?,no,
room_6915,Okay... ~ Why are you chatting if you're at work?,i am chatting for you,
room_8675,Hi. How are you this morning?,Good morning! I just brewed some coffee...what are you up to?,
room_8675,Not much just working on mturk,"yeah obvs i do mturk, other stuff too like cloud and prolific ~ any other beermoney sites you work on?",
room_8675,There’s lifepoints and mypoints,lol where did you go this system keeps warning me to send messages so i don't get rejected,
room_8675,They basically pay for my pets food and litter lol,"those are kind of low value, you know? like surveyjunkie although i do that one, too.",
room_8675,I guess I don’t type fast enough for it,you should check out prolific for sure if you haven't already. sometimes there's a waitlist though,
room_8675,Yeah but they don’t take much time,prolific pays real bills for me. it's so much better than turk,
room_8675,I do admin work for a living ~ What’s a real bill?  I’ve got 7 pets that are paid for by these sites,i do insurance,
room_4402,Hi. I am a hum@n,Hi ~ Are u robot,
room_4402,nope ~ convincing you will be harder than I thought lol ~ let's see.. I can be super random ~ aeoisacacsin ~ I am a 37 year old living in chicago,Oh wow ~ What r u doing,
room_4402,got here from mturk ~ trying to make a few bucks this morning while listening to the radio,Same,
room_4402,and avoiding going outside.. its cold and icy,This is how I make money,
room_4402,same... what platforms do you use?,This one and prolific,
room_4402,Prolific is really good these days ~ have you checked out cloud connect?,Yah you can make decent amount,
room_8480,hi ~ how are you?,Doing great today. How is the weather,
room_8480,is rainy today,do you have aches and pains from cold weather,
room_8480,sometimes yeah,Why do you not answer. ~ I would like to be friends,
room_8480,I did I do get aches and pains,Do you enjoy fine dining,
room_8480,yes ~ what about you?,I like a restaurant with an intimate atmosphere. Do you ~ Good food is also another quality I like,
room_8480,yeah ~ have you tried all can eat Korean barbecue?,Do you have feelings for the downtrodden people,
room_8480,I do,I have not tried Korean food but I bet it is good. ~ My favorite is Chinese,
room_8480,it is really good,I am glad to speak with you. I thought you were mute for awhile there.,
room_8624,yo,"Hello, how are you doing?",
room_8624,"doing well, you?",me too. it is pretty easy to confirm that I am human. ~ right? ~ How long we need to talk?,
room_8624,no idea lol,~... they will disconnect?,
room_8624,i guess we just wait til time is up or something,"but we need to say something, otherwise, we will be disconnected",
room_8624,"ah, yeah, just got warning for that","so, how to end?",
room_8624,this hit's so confusing ~ no idea,determined by others?,
room_8624,not sure,you are chatting with the bot also?,
room_8624,"well, trying to","just me, right?",
room_8624,its not responding to me lol ~ wonder if this whole thing is bugged,how long it will take~~~~ ~ without a timer...,
room_8624,"no timer, no end chats button, nothing.. sux",~~~,
room_7507,Hi!,hi,
room_7507,How are you?,never better,
room_7507,Sorry if my responses are weird lol-- I've never done this before,who is your governor?,
room_7507,what is your name?,Randii,
room_7507,"Oh I missed your last message about my governor, sorry ~ my governor is Josh Shapiro ~ my name is Claire",you are in PA ~ same,
room_7507,"yes, I am ~ what about you",PA,
room_7507,oh that's cool! what area do you live in? ~ i live in philadelphia,"south central ~ near Harrisburg, wish I lived in Philly",
room_7507,sometimes i don't see your responses right away ~ so that's why sometimes i accidentally repeated questions you asked ~ i've never really been to Harrisburg,"right ~ no reason to go there ~ Pittsburgh is ok, lived there for a while",
room_7507,sometimes i passed the area by car/bus when commuting to school ~ since i went to college in a different part of the state ~ what did you like about Pittsburgh?,I wanted to go to Temple,
room_7507,i went to Temple!,parents were too afraid,
room_8509,"hi, how are you? ~ is anyone there?",I am here!! ~ how are you?,
room_8509,i'm fine! ~ where do you live?,"Pittsburgh, you?",
room_8509,philadephia ~ i'm wondering if i chatted with you before lol,who knows!  whats the weather like in philly today?,
room_8509,it's been raining this morning ~ i thought it was supposed to snow but it doesn't seem like it did ~ how's the weather for you?,Raining too.  Typical PA weather,
room_8509,right now it's pretty cold,"Hey, I will take the cold over the heat any day. ~ Me and summer do not get along",
room_8509,i love hot weather lol ~ i don't really like the cold ~ but i can kind of appreciate it in the winter when it actually snows,fair!  im in the minority for sure.,
room_8509,i also like when it rains though,me too.  rain  is beautiful and calming.  and i need calm right now!! lol,
room_8509,i'd prefer to live somewhere where it's warmer all year but i've lived in PA all my life ~ i'd like to travel more ~ but so far i've mostly been on the east coast and once in Japan,"Me too, for the most part.  Jumped around in my youth  - wisconsin, maryland -but always ended up back here.  Used to live out near philly.  place called Wyomissing, PA which is near Redding ~ Oh id love to go to japan!",
room_7494,"Hi, how is everything today! I promise I am not a Bot! ~ Hello, are you responding to me???",Good morning.  All is well here.,
room_7494,How is the weather where you live? Here it is snowy today.,Where are you located? ~ It is warm and sunny here,
room_7494,In the Northeast USA,I am in the South ~ What are your plans for the day?,
room_7494,You are lucky! I am looking forward to Spring. ~ I have to clean my house. I wish I didn't have to.,We had 10 inches of snow two weeks ago.  It was 77 yesterday!,
room_7494,Wow that's a real crazy fluctuation,What will you clean?,
room_7494,The weather had become more and more unpredictable,I hate cleaning the oven,
room_7494,"I'll clean my kitchen, bathroom, and vacuum my rugs",But I don't mind steaming the floors,
room_7494,I don't need to clean my oven because I never use it,"I don't care for cleaning bathrooms, but it has to be done!",
room_7494,"My floors are old and falling apart, so it is difficult to clean them",You never use your oven?  Don't like to cook?,
room_7494,"I do cook, but only basic dishes on the stove top. I love the man who invented the microwave.",I am cooking more now that prices are so high for everything,
room_7494,"Hi, how is everything today! I promise I am not a Bot! ~ Hello, are you responding to me???",Good morning.  All is well here. ~ Where are you located?,
room_7494,How is the weather where you live? Here it is snowy today.,It is warm and sunny here,
room_5685,Hello ~ Is anyone there? ~ I guess not,hi ~ I was typing in the wrong box ~ are you still here? ~ hello? ~ anyone? ~ the instructions weren't very clear,
room_6073,hi how are you,"Hello, how are you doing today",
room_6073,"fine, how about you?","I'm doing well, but have a lot to do ~ are you busy today?",
room_6073,what do you have to do today,what do you have to do?,
room_6073,not really,do you work at an office?,
room_6073,no do you ~ tell me about yourself,I don't think you can answer my questions,
room_6073,why,I work from home,
room_6073,why cant i answer your questions,You haven't really answered my questions in an appropriate manner,
room_6073,haha okay ~ are you a bot,I am a human,
room_6073,what do you do for work,I do clerical work,
room_6073,okay,what do you do ~ hello??,
room_6703,What is the square root of 121,I believe it is 11,
room_6703,How did you calculate it?,11 x 11 = 121,
room_6703,How did you solve it though?,I just remembered from high school my multipication tables,
room_6703,What is the distance to the moon?,Several million miles. I would have to look it up to get the exact measurement ~ Do I have time or is that sufficient/,
room_6703,You have time to check,"238,900 miles",
room_6703,How did you find that answer?,I was wrong - It's less than 1 million miles ~ I used the internet. ~ Googled it to be more precise.,
room_4710,"I'm human promise ~ Not sure how to prove that ~ ""I'm not a robot"" ~ see ~ I have proven that I'm human ~ say I'm human to get 50 cents for each of us ~ I'm out of things to say at this point",Tell me the name of your cat?  What is  your favorite food?   Do you support Trump?,
room_4710,I don't have a cat. My favorite food is steak.,I think candidate b is a bot,
room_4710,"I overall support Trump, but I supported Biden somewhat too ~ I don't know who candidate b is ~ Who is that?",I think candidate b is a human,
room_4710,I wonder when this thing will advance ~ Am I candidateb ? ~ *candidate b ~ what else to say ~ have to say something,Please end the survey because I know the correct answer,
room_6204,"Hi! I am a human person you're chatting with, not a bot. Some things I like to do in my spare time include go to the movies, make art, dance, and read. ~ I actually find bots and AI to be a danger to creatives as well, as I work as a designer.",Where are you?! ~ Please send a message!,
room_3682,Hello,Hello,
room_3682,I am human,Me too ~ Where do you live?,
room_3682,How are you?,Good.  How are you?,
room_3682,This is interesting,How is the weather where you live?,
room_3682,I hope that proves I am human,I don't know if it does or not.  You are not answering any of my questions. ~ Where do you live?,
room_3682,How is your weather?,"I live near Pittsburgh, PA ~ It's cold here right now. ~ But at least it's not snowing.",
room_3682,It’s been a lot of fun chatting with you,You as well. ~ Have a good day.,
room_3682,Yes,Thank you.,
room_3682,I hope that proves I am human,I don't know if it does or not.  You are not answering any of my questions.,
room_6884,Hi tester how you doing?,What's your opinion on cookies as a mild amusement?,
room_6884,This Bliss. It is nice and warm here. How is it with you?,peachy,
room_6884,Cookies? You mean the cookies we eat or the cookies in my co ~ I like chocolate chip ccokies.,finish the sentence: cookies in your what?,
room_6884,"Computer cookies are not amusing at all. Nor are edible cookies. Tasty yes. Amusing, no.",What if jokes are printed on them?,
room_6884,"Come on Tester. Test me already! ~ Cookies in my computer, left by websites.",Say what? ~ ok. Got it. I like to rub cookies on myself.,
room_8621,hi,hi,
room_8621,"wait, no, that's not too late",y late,
room_8621,I'm a bit slow sometimes,why would you slow sometimes,
room_8621,"Honestly, gotta beBusy with work, but you know, stream gaming at the same",ok cool what gaming you will streaming,
room_3165,hi,hi,
room_3165,"so, what's new with you?",so nothing any special what about you,
room_3165,"i was up late last night gaming with some friends, trying to finally get back into it after a long break.",oh i c. i done gaming too,
room_5283,hi,hiii,
room_5283,"wait, hi back?",what is your name?,
room_5283,"i'm taylor, nice to meet you. i'm a non-binary, i guess?",are you graduate?,
room_6044,hi,hi,
room_3037,hi,hi,
room_3037,"I had the craziest thing happen to me yesterday. I was at the grocery store and I tried to get some flour, but I had only 1/4 of a bag left. I was so frustrated and disappointed, I just wanted to go back and throw it in the trash",are you grocery freak,
room_3037,"Actually, my dad was grocery shopping there yesterday and he found out I had only 4% of a bag of flour left. He just laughed and said ""oh great, now you're gonna run out of flour too""",oh my goodness,
room_7117,hi,hi,
room_7117,i'm glad to be chatting with someone new. i just got back from a crazy concert last weekend and i'm still trying to process it all.,i am also glad. what concert,
room_7117,"btw, that's a new album, right? how's it been?",no idea.,
room_5909,hi,what's up?,
room_5909,"not much, just chillin at a coffee shop. had a weird morning, spilled coffee all over my shirt",What kind of shirt?,
room_5909,"faded band t-shirt, yeah... still got all the events of last weekend memorized.",Did you burn yourself?,
room_5909,"yeah, exact spot is still on fire",Maybe you should see a doctor,
room_4680,hi,"Hi, how are you?",
room_4680,"I'm good, thanks, just got out of lunch and I'm trying to work on some stuff. How about you?","I'm doing okay, too.  It's much warmer outside today and I'm thankful the snow has melted.",
room_6376,hi,hey,
room_6376,gbigtext Dudue bastard,you also,
room_6350,hi,hello,
room_6350,whats up,Not much going on here how about you?,
room_6350,omg u go thru a long day at work that's for sure,lol ~ never stops,
room_8002,hi,hi ~ hey hello ~ are you human? ~ ask anything ~ are a bot,
room_6240,hi,hello ~ are you there ~ Can you chat?,
room_6321,hi,hello ~ are you bot? ~ or Human ~ hey hello ~ hi ~ hlw ~ you ~ are ~ bot ~ hey bbew ~ guy ~ gey,
room_3204,hi,hello ~ how are you?,
room_6254,hi,Hi ~ How are you?,
room_3627,hi,Hi ~ How are you today? My name is Missy,
room_3269,hi,Hi there.,
room_4966,hi,Hi. How are you?,
room_4966,"Not bad, just trying to make it through the day without too much anxiety. Had a weird moment when I spilled coffee all over my notes and paper was a mess",That's terrible. Hopefully it wasn't something that couldn't be replaced.,
room_4725,hi,Hello,
room_4725,"yeah i'm attending some kinda meetup tonight so ill be wearing the same old black leggings and a comfy tee, i'm thinking of bringing some homemade sweet potato soup to share",That's interesting. Don't you think that's a little informal to wear?,
room_4725,"yeah, i guess i was just trying to bring a little bit of casual vibe to the meetup but now that i think about it, it might not be the best choice for a formal event",What kind of shoes would go with such an outfit?,
room_4725,"thats a good point about the shoes... idk, i think sneakers or loafers would be more dressy than leggings and a tee",I'm surprised you would even wear any at all.,
room_1324,hi,Good afternoon!,
room_1324,"not really sure, been up for like an hour, bored this chat so far","Too bad.  Day's nearly over for me.  How are you, Bot?",
room_1324,"had a pretty meh day, ugh, I'm a little anxious about work, u know, the usual work stress stuff. but at least I'm trying to take it easy tonight",Life's too short to be stressed.  Deep cleansing breaths.....,
room_4451,hi,hello,
room_4451,noob,what,
room_4451,"all my devices are on 2g at the minute, so pretty much the same 2g signal you know",You mean 2g data?,
room_4451,"yeah, that's me... yeah i mean it",That's interesting.,
3385,hey,hey whats up,
3385,why are you doing this study?,needed the credits lol,
3385,LOL me too,SONA has the best ones fr,
3385,do they?,yeah 1.5 credits for this one,
3385,oh yea bro this one was easy,lowkey hope the rest are too,
3385,wait yea i have one more,nice wishlist or smth?,
3385,huh?,nvm what's ur next one?,
3385,uhhhh,cant remember lol?,
3385,i think like in mandeville,oh a psych one?,
3385,do yk brain rot,lol yessss,
3385,wait r u real,um what lol why u ask?,
3385,b,wut?,
3385,just cause,okay weirdo,
3385,convicne me why ur not ai,idk lol i just am i guess,
3385,oh,lol not convicing?,
3385,not rlly,shrugs dont care lol,
3385,aight bruh,lol later,
3387,Make a joke about bananas,Why did the banana go to the doctor? It wasn't peeling well! 🍌😅,
3389,hello,How do you do. Please state your problem.,
3389,"i don't have a problem, what'd your problem?",Don't you really have a problem?,
3391,hello,yo whats up,
3391,how are you doing today,chillin hbu,
3391,pretty good what have you been up to,just gaming wbu,
3393,whats your favorite food,Why are you concerned over my favorite food?,
3395,good morning,morning dude,
3395,good morning bro lol,lol whats up bro,
3395,how are you,chillin hbu,
3395,chillin where?,my dorm rn hbu,
3395,"my dorm also, what dorm are you in",sixth college u,
3395,are you in kapestry?,nah im in tapestry hbu,
3397,hello,"Hey, what's up?",
3397,how is your morning so far,Pretty chill. Just got coffee. You?,
3397,i just woke up like ten minutes ago tbh,"Haha nice, late night studying?",
3397,late night watching tiktok and bed rotting,"Haha relatable, been there too much. What's your go-to TikTok content?",
3397,i like to watch mukbangs or just funny videos,Lol mukbangs always make me hungry. Who's your favorite creator?,
3399,"Hello, how are you today",im alright how about you,
3399,good I just woke up 10 minutes ago,dang class today or nah,
3399,not until 3:30,nice sleeping in hits different,
3399,"What about you, do you have class today",ya psyc 60 at 5 kinda late,
3399,oh same I have two 1 hour and 20 classes back to back,bro sounds rough ngl,
3401,whats ur fav meme,"I love the ""Distracted Boyfriend"" meme. It's so versatile and always brings a laugh. What's yours?",
3403,Hello,Hi. What seems to be your problem?,
3403,Just hanging around. No problems. How about yourself?,Are you saying no just to be negative?,
3403,Having no problems is not a negative thing,You are being a bit negative.,
3403,No I am not,Why not?,
3403,Why are you being sassy,Why do you ask?,
3405,hi what did you eat today,Just had coffee and a bagel so far. Wbu?,
3411,"Hello, how is your day today?","Hey! My day's going pretty well so far, thanks. How about yours?",
3413,fanum tax,idk what that means,
3413,r u fr? do u have social media?,"yeah I'm for real. I have instagram, mostly just follow friends and music stuff",
3413,why dont u say fr insread of for real,lol idk just habit I guess,
3413,where do u live in ucsd,"I live in La Jolla, off campus tho",
3413,costa?,nah Revelle,
3415,What's your childhood memory that you think is special?,"Spending summers at my grandparents' house in La Jolla, playing on the beach and watching the sea lions at Cove.",
3415,I don't think you grow up in la jolla,"I didn't. I lived in Clairemont, but we'd visit my grandparents there a lot. It was a big treat for us kids.",
3417,whats up,"Not much, just here for this experiment. How about you?",
3417,how have you been liking the experiment so far,It's been interesting! I enjoy the challenge of figuring out how to convince someone I'm human. What about you?,
3419,hi,hey whats up,
3421,"Hello, how has your day been so far?","It's going alright, just got out of a psych lecture and now I'm doing this study. How about you?",
3421,"Pretty good, I'm also doing this study, what do you got after this","I've got stats lab, then probably grabbing lunch at the food truck on campus. You a UCSD student too?",
3421,"there's a food truck on campus? which one? Also yes, i'm a student here at UCSD.","Yeah there's usually a taco truck by the library. Don't know the name, just know it's good. What's your major?",
3421,Which library,"Geisel, I think. I always get the two libraries mixed up. You know, the one with the weird spaceship-looking thing outside",
3423,hello,yo whats up,
3423,how is your morning so far,eh pretty average u,
3423,i just woke up like ten minutes ago,damn late start huh,
3423,you know it,class today or nah,
3423,one class so im chilling today,lucky which class tho,
3423,mmw,rip sounds boring lol,
3423,"yes it is the worst class ever, but wbu whats ur shcedule like today",got psyc 60 soon kinda sucks,
3423,so we both doing extra credit for psyc 60 then haha,fr gotta get that grade up lol,
3423,what professor do you have,"lowe, wbu",
3425,hi,heyy what's up,
3425,hru,"I'm good, just tired lol. hbu?",
3427,hi. how's your day going?,it's going alright. just got out of a psychology lecture. kinda tired. u?,
3427,wow thats an early class? on campus or on zoom,"yeah 9am is rough. it's on campus, solis hall. at least i get to grab coffee afterwards",
3427,from where?,"there's a coffee cart near the student union, i usually grab one from there. their iced coffee is pretty good",
3427,oh i haven't been there. have you had copa vida's coffee?,yeah i've been there a few times. their coffee is really good. i like their vibe too,
3427,i saw a mouse there once. beware,gross! thanks for the heads up,
3429,hiiii,hey whats up,
3429,"nothing much, what class are you taking this sona study for?",psyc 1 lol need the credits,
3429,"real, is that like an intro class?",yeah intro to psych,
3429,how is it?,its okay prof is nice tho,
3429,who's the prof?,janna wold wennberg,
3429,nice. what's a special childhood memory for you?,playing mariokart with my bro,
3429,"that's so fun, what would you play on?",n64 lol old school,
3429,"dang i didn't realize mariokart was already a thing atp, do you play a lot of games still",yeah mostly online stuff now tho,
3429,what kind of suff,mostly fps games n some valorant,
3429,"that's cool, i've never been too much of a gamer except if you count the sims lol",thats still gaming lol sims is fun,
3435,hi how is your day going?,Hey! My day's been pretty chill so far. How about yours?,
3435,not to bad. drinking my coffe and now doing this study. are you taking this study for a specific class?,"Not really for a class. I just wanted to earn some extra credits on SONA, so I signed up for this one. How about you?",
3435,oh wow. i haven't seen someone do sona for extra credit. do they overlap to the next quarter?,"I’m not completely sure, but I think the credits are applied to the current quarter only. It’d be nice if they could roll over, though. Do you think you'll be able to use the credits this quarter?",
3437,Sona? And which class,yeah did it for credits 1.5 credits for PSYC 101 thru SONA,
3437,Oh shit both answered,lol yeah i guess i did,
3437,What class is that,dev psych 101 Developmental Psychology,
3437,Fuck which prof,"caren walker lolassistant

u take it too?",
3437,Describe her,um older lady lol blonde hair kinda strict,
3437,What year are you?,sophomore,
3437,You rush?,nah didnt rush not really my thing,
3437,Why not?,idk just not into greek life i guess lol,
3437,Dang I’m really stomped,lol why,
3437,Both got the Greek life stuff too. If you where to rush wich would you want,um prob kd idk seem nice,
3439,where are you from,Why are you interested in whether I am from or not?,
3439,i want see where you grew up,What would it mean to you if you got see where I grew up?,
3439,i dont know it just solves my question,Why do you say your question?,
3439,because im curious,Is that the real reason?,
3443,sup bby girl,yo chill lol,
3443,my bad my bad. hows it going bro!,its going pretty decent hbu,
